ESV Name,Name,KMZ Name,MSG Name,NLT Name,NIV Name,Lat,Lon,Passages,Comment
Abana,TBC,TBC,2 Kgs 5:12,TBC,TBC,33.545097,36.224661,TBC,TBC
Abarim,Mount Nebo,TBC,TBC,TBC,"Num 27:12, Num 33:47, Num 33:48, Deut 32:49, Jer 22:20",0.0,0.0,TBC,TBC
Abdon,TBC,TBC,"Josh 21:30, 1 Chr 6:74",TBC,TBC,33.047808,35.146201,TBC,TBC
Abel,Abel-beth-maacah,TBC,TBC,TBC,"2 Sam 20:14, 2 Sam 20:15, 2 Sam 20:18",0.0,0.0,TBC,TBC
Abel-beth-maacah,TBC,TBC,"1 Kgs 15:20, 2 Kgs 15:29",TBC,TBC,33.257,35.58,TBC,TBC
Abel-keramim,TBC,TBC,Judg 11:33,TBC,TBC,32.02425,35.82352,TBC,TBC
Abel-maim,Abel-beth-maacah,TBC,TBC,TBC,2 Chr 16:4,0.0,0.0,TBC,TBC
Abel-meholah,TBC,TBC,"Judg 7:22, 1 Kgs 4:12, 1 Kgs 19:16",TBC,TBC,32.35601,35.536929,TBC,TBC
Abel-mizraim,TBC,TBC,TBC,TBC,Gen 50:11,0.0,0.0,TBC,TBC
Abel-shittim,Abel-Shittum,TBC,TBC,TBC,Num 33:49,0.0,0.0,TBC,TBC
Abiezer,Ophrah 2,TBC,TBC,TBC,Judg 8:2,0.0,0.0,TBC,TBC
Abilene,TBC,TBC,Luke 3:1,TBC,TBC,33.5873,36.09171,TBC,TBC
Abronah,Ezion-geber,TBC,TBC,"Num 33:34, Num 33:35",TBC,0.0,0.0,TBC,TBC
Accad,Akkad,TBC,TBC,TBC,Gen 10:10,0.0,0.0,TBC,TBC
Acco,Ptolemais,TBC,TBC,TBC,Judg 1:31,0.0,0.0,TBC,TBC
Achaia,Greece,region,TBC,TBC,"Acts 18:12, Acts 18:27, Acts 19:21, Rom 15:26, 1 Cor 16:15, 2 Cor 1:1, 2 Cor 9:2, 2 Cor 11:10, 1 Thes 1:7, 1 Thes 1:8",0.0,0.0,TBC,TBC
Achshaph,Achshaph,TBC,TBC,TBC,"Josh 11:1, Josh 12:20, Josh 19:25",0.0,0.0,TBC,TBC
Achzib,TBC,TBC,"Josh 15:44, Mic 1:14",TBC,TBC,31.7,35.0,TBC,TBC
Achzib ,Aczib,TBC,TBC,TBC,"Josh 19:29, Judg 1:31",0.0,0.0,TBC,TBC
Adadah,TBC,TBC,Josh 15:22,TBC,TBC,31.1858,34.96745,TBC,TBC
Adam,Adam,TBC,TBC,TBC,Josh 3:16,0.0,0.0,TBC,TBC
Adamah,TBC,TBC,Josh 19:36,TBC,TBC,32.7253,35.4382,TBC,TBC
Adami-nekeb,TBC,TBC,Josh 19:33,TBC,TBC,32.6105,35.54289,TBC,TBC
Addar,TBC,TBC,Josh 15:3,TBC,TBC,30.9522,34.7187,TBC,TBC
Addon,TBC,TBC,TBC,TBC,Neh 7:61,0.0,0.0,TBC,TBC
Adithaim,TBC,TBC,Josh 15:36,TBC,TBC,31.7001,34.89532,TBC,TBC
Admah,Admah,TBC,TBC,TBC,"Gen 10:19, Gen 14:2, Gen 14:8, Deut 29:23, Hos 11:8",0.0,0.0,TBC,TBC
Adoraim,Adora,TBC,TBC,TBC,2 Chr 11:9,0.0,0.0,TBC,TBC
Adramyttium,TBC,TBC,Acts 27:2,TBC,TBC,39.5748,26.9367,TBC,TBC
Adriatic Sea,water,TBC,Acts 27:27,TBC,TBC,42.415,16.3735,TBC,TBC
Adullam,TBC,TBC,"Josh 12:15, Josh 15:35, 1 Sam 22:1, 2 Sam 23:13, 1 Chr 11:15, 2 Chr 11:7, Neh 11:30, Mic 1:15",TBC,TBC,31.65,35.0,TBC,TBC
Adummim,TBC,TBC,"Josh 15:7, Josh 18:17",TBC,TBC,31.817585,35.361646,TBC,TBC
Aenon,TBC,TBC,John 3:23,TBC,TBC,32.398936,35.54351,TBC,TBC
Ahava,TBC,TBC,"Ezra 8:15, Ezra 8:21, Ezra 8:31",TBC,TBC,33.625197,42.786647,TBC,TBC
Ahlab,Ahlab,TBC,TBC,TBC,Judg 1:31,0.0,0.0,TBC,TBC
Ai 1,Ai,TBC,TBC,TBC,"Gen 12:8, Gen 13:3, Josh 7:2, Josh 7:3, Josh 7:4, Josh 7:5, Josh 8:1, Josh 8:2, Josh 8:3, Josh 8:9, Josh 8:10, Josh 8:11, Josh 8:12, Josh 8:14, Josh 8:17, Josh 8:18, Josh 8:20, Josh 8:21, Josh 8:23, Josh 8:24, Josh 8:25, Josh 8:26, Josh 8:28, Josh 8:29, Josh 9:3, Josh 10:1, Josh 10:2, Josh 12:9, Ezra 2:28, Neh 7:32",0.0,0.0,TBC,TBC
Ai 2,Heshbon,TBC,TBC,TBC,Jer 49:3,0.0,0.0,TBC,TBC
Aiath,Ai 1,TBC,TBC,TBC,Isa 10:28,0.0,0.0,TBC,TBC
Aija,Ai 1,TBC,TBC,TBC,Neh 11:31,0.0,0.0,TBC,TBC
